Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
12/5/2025,,Regular Season,LeanTeam,0|0|0|0|0|57,Win,,,,,,,,,,,,,,
,,,,,,D redd2x,17,1,0,0,0,1,0,7,100.0,7,3,3,100.0
,,,,,,LTMaal,13,0,17,1,0,1,1,6,66.7,9,1,2,50.0
,,,,,,ImDeezus,10,3,2,1,1,0,0,4,100.0,4,2,2,100.0
,,,,,,Im Their Plug,9,9,2,1,0,0,0,4,80.0,5,1,1,100.0
,,,,,,Kyng Gaza,8,0,0,2,0,1,0,3,37.5,8,2,7,28.6
,,,High Octane,0|0|0|0|0|34,Loss,,,,,,,,,,,,,,,
,,,,,,PurpDaMenace,16,5,1,1,0,1,0,8,80.0,10,0,1,0.0
,,,,,,II Quaa II,11,0,2,0,0,0,3,4,80.0,5,2,3,66.7
,,,,,,WooHardxn,4,0,0,0,0,3,0,2,66.7,3,0,0,0
,,,,,,IIDevoll,3,4,3,0,0,2,0,1,50.0,2,1,2,50.0
,,,,,,SpilledMyWock-,0,0,7,0,0,2,2,0,0.0,8,0,6,0.0
