Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
12/5/2025,,Regular Season,The Next Chapter,0|0|0|0|0|67,Loss,,,,,,,,,,,,,,
,,,,,,quickryceTTV,38,1,3,2,0,0,1,13,68.4,19,12,17,70.6
,,,,,,EBKJIM,12,1,6,0,0,1,6,4,44.4,9,3,6,50.0
,,,,,,Hizdom,10,15,3,0,0,0,2,5,100.0,5,0,0,0
,,,,,,LeTweezSimmons,5,1,3,4,2,1,0,2,28.6,7,1,5,20.0
,,,,,,BullyWxrld,2,1,2,1,0,4,0,1,33.3,3,0,0,0
,,,ZeroTolerance,0|0|0|0|0|68,Win,,,,,,,,,,,,,,,
,,,,,,lgothagun,23,0,7,2,0,2,5,7,70.0,10,6,9,66.7
,,,,,,SynnSuave,19,2,1,5,0,2,0,8,66.7,12,3,5,60.0
,,,,,,SioDied,12,5,3,1,0,1,0,5,55.6,9,2,4,50.0
,,,,,,Agaara,7,0,1,0,0,0,1,3,42.9,7,1,4,25.0
,,,,,,xojask,7,9,4,0,0,1,1,3,50.0,6,1,2,50.0
