Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
12/5/2025,,Regular Season,ZeroTolerance,0|0|0|0|0|67,Win,,,,,,,,,,,,,,
,,,,,,lgothagun,26,1,7,2,0,0,4,9,69.2,13,8,10,80.0
,,,,,,xojask,14,9,7,0,0,3,3,6,85.7,7,2,3,66.7
,,,,,,SioDied,13,6,3,0,0,1,0,6,66.7,9,1,3,33.3
,,,,,,outxshyne,11,0,2,0,0,0,1,3,50.0,6,3,6,50.0
,,,,,,Agaara,3,0,0,0,0,1,0,1,33.3,3,1,3,33.3
,,,Iconic,0|0|0|0|0|66,Loss,,,,,,,,,,,,,,,
,,,,,,ReignJokic,21,9,4,2,0,0,3,10,83.3,12,1,2,50.0
,,,,,,Gazulli,20,0,6,2,0,1,0,8,66.7,12,4,7,57.1
,,,,,,CamSPM,13,0,6,0,0,1,0,5,50.0,10,3,6,50.0
,,,,,,IIRangeiana,9,0,1,1,0,4,0,4,57.1,7,1,1,100.0
,,,,,,Kye 716,3,3,1,3,1,0,0,1,33.3,3,1,2,50.0
