Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
12/6/2025,,Regular Season,Lightsout,0|0|0|0|0|82,Win,,,,,,,,,,,,,,
,,,,,,IIIzIIII,27,0,7,3,0,1,0,10,45.5,22,5,13,38.5
,,,,,,TmChris2k,23,0,10,0,0,0,3,9,60.0,15,5,8,62.5
,,,,,,XFatboyTrae,14,16,5,0,4,3,3,6,100.0,6,0,0,0
,,,,,,Melder_,12,4,0,3,1,4,3,4,57.1,7,4,6,66.7
,,,,,,IRecedel,6,1,0,4,0,4,0,3,75.0,4,0,0,0
,,,Abandoned Ones,0|0|0|0|0|80,Loss,,,,,,,,,,,,,,,
,,,,,,Wrap Again,30,0,2,1,0,2,3,11,68.8,16,8,10,80.0
,,,,,,Ima sell,21,1,0,0,0,2,1,8,88.9,9,4,5,80.0
,,,,,,WavyJC_,20,0,14,1,1,1,4,6,46.2,13,5,11,45.5
,,,,,,KingSebass_,6,10,8,1,1,0,1,3,50.0,6,0,0,0
,,,,,,sSq5der,3,5,0,2,0,2,1,1,16.7,6,1,5,20.0
