Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
12/6/2025,,Regular Season,DogHouse,0|0|0|0|0|75,Win,,,,,,,,,,,,,,
,,,,,,LvKaid,39,0,10,0,0,0,3,12,57.1,21,11,19,57.9
,,,,,,ShootLikeDev,14,1,0,2,0,2,0,5,62.5,8,4,7,57.1
,,,,,,Itsphoenix658,13,0,2,0,1,0,1,5,55.6,9,3,7,42.9
,,,,,,STF_Merk,7,1,2,2,1,3,1,3,100.0,3,1,1,100.0
,,,,,,KingPapiDrip,2,16,6,0,3,4,2,1,100.0,1,0,0,0
,,,Coatesville,0|0|0|0|0|73,Loss,,,,,,,,,,,,,,,
,,,,,,Xmajxx,29,0,2,1,0,1,1,11,64.7,17,5,9,55.6
,,,,,,EnvyZayyy,24,0,9,2,0,5,3,7,41.2,17,5,12,41.7
,,,,,,JlottoDaDon,12,6,3,1,1,0,0,5,71.4,7,2,4,50.0
,,,,,,BudSkrt,5,12,3,1,0,0,0,2,66.7,3,0,0,0
,,,,,,VerifiedMere,3,2,1,1,0,1,0,1,20.0,5,1,3,33.3
