Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
12/6/2025,,Regular Season,DogHouse,0|0|0|0|0|78,Win,,,,,,,,,,,,,,
,,,,,,LvKaid,46,0,9,1,0,0,3,15,62.5,24,9,16,56.3
,,,,,,ShootLikeDev,13,0,1,3,0,2,0,5,71.4,7,3,5,60.0
,,,,,,Itsphoenix658,10,0,2,1,0,1,0,3,50.0,6,2,4,50.0
,,,,,,STF_Merk,9,5,4,2,0,2,2,4,80.0,5,1,2,50.0
,,,,,,KingPapiDrip,0,8,3,0,0,2,2,0,0,0,0,0,0
,,,DUB DYNASTY,0|0|0|0|0|73,Loss,,,,,,,,,,,,,,,
,,,,,,Tiktokpablo,29,0,11,0,0,0,6,13,72.2,18,3,6,50.0
,,,,,,Walksum-,23,0,3,2,0,1,0,10,83.3,12,3,4,75.0
,,,,,,LNO802MAG,14,5,3,1,0,1,0,6,66.7,9,2,4,50.0
,,,,,,Dynastyxkdub2k,5,8,2,2,0,1,0,2,66.7,3,1,2,50.0
,,,,,,IDKVINO,2,0,1,2,0,4,1,1,33.3,3,0,1,0.0
