Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
12/6/2025,,Regular Season,Abandoned Ones,0|0|0|0|0|72,Loss,,,,,,,,,,,,,,
,,,,,,Wrap Again,23,0,6,0,0,0,0,8,53.3,15,3,9,33.3
,,,,,,WavyJC_,17,0,10,0,0,0,5,5,33.3,15,5,14,35.7
,,,,,,Ima sell,13,1,1,2,0,3,0,6,100.0,6,1,1,100.0
,,,,,,KingSebass_,11,10,3,0,0,0,2,5,71.4,7,0,0,0
,,,,,,sSq5der,8,5,2,0,2,0,1,3,75.0,4,2,2,100.0
,,,Lightsout,0|0|0|0|0|91,Win,,,,,,,,,,,,,,,
,,,,,,IIIzIIII,43,0,4,2,0,1,0,16,66.7,24,11,18,61.1
,,,,,,TmChris2k,16,0,4,0,0,2,2,6,60.0,10,4,6,66.7
,,,,,,IRecedel,14,0,1,1,0,2,0,6,75.0,8,2,3,66.7
,,,,,,XFatboyTrae,10,16,12,2,1,0,1,5,83.3,6,0,0,0
,,,,,,Melder_,8,3,3,3,0,2,0,3,50.0,6,2,4,50.0
