Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
12/6/2025,,Regular Season,Liquid Pro Am,0|0|0|0|0|98,Win,,,,,,,,,,,,,,
,,,,,,doodlebam,32,0,4,0,0,0,0,12,85.7,14,8,10,80.0
,,,,,,Antoinelove,26,0,18,1,0,2,3,9,75.0,12,5,7,71.4
,,,,,,winningNgaining,24,10,5,0,0,1,0,12,100.0,12,0,0,0
,,,,,,jaysnagss,11,0,1,2,0,1,1,4,100.0,4,3,3,100.0
,,,,,,Zayynossll,5,1,3,0,0,1,0,2,66.7,3,1,1,100.0
,,,BOOM3Rz,0|0|0|0|0|93,Loss,,,,,,,,,,,,,,,
,,,,,,Coachwhogamesttv,30,0,17,1,0,3,1,13,81.3,16,4,6,66.7
,,,,,,NeverPassingIt,24,0,1,1,0,3,0,10,66.7,15,4,7,57.1
,,,,,,XFrostFades,18,0,0,0,0,1,0,7,87.5,8,4,5,80.0
,,,,,,IlMarkNuttlI,16,6,3,0,0,0,2,5,83.3,6,5,6,83.3
,,,,,,Laayupk,5,1,3,1,0,0,0,2,66.7,3,1,2,50.0
