Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
12/6/2025,,Regular Season,DogHouse,0|0|0|0|0|93,Win,,,,,,,,,,,,,,
,,,,,,LvKaid,53,0,4,0,0,0,2,19,70.4,27,15,20,75.0
,,,,,,Itsphoenix658,14,0,2,0,0,1,0,5,50.0,10,4,9,44.4
,,,,,,ShootLikeDev,14,0,0,3,0,2,0,5,100.0,5,4,4,100.0
,,,,,,STF_Merk,6,2,3,4,0,1,0,3,100.0,3,0,0,0
,,,,,,KingPapiDrip,6,11,9,0,0,1,0,3,100.0,3,0,0,0
,,,maison de yume,0|0|0|0|0|72,Loss,,,,,,,,,,,,,,,
,,,,,,teddyxmcdonald,27,0,8,0,0,0,6,9,56.3,16,7,12,58.3
,,,,,,DeepestStrokes,18,6,0,1,0,0,1,7,63.6,11,4,8,50.0
,,,,,,Wentlegit,17,0,2,1,0,2,0,7,50.0,14,3,9,33.3
,,,,,,Itspolo,6,13,6,0,0,0,1,2,50.0,4,0,1,0.0
,,,,,,CackyKai,4,0,0,0,0,1,1,1,50.0,2,1,1,100.0
