Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
12/7/2025,,Regular Season,Supreme styles,0|0|0|0|0|84,Loss,,,,,,,,,,,,,,
,,,,,,Manzebk,23,5,4,0,3,1,2,8,80.0,10,5,6,83.3
,,,,,,Iiithexmaniii,21,2,8,1,0,1,4,8,100.0,8,5,5,100.0
,,,,,,Nolimitkev,18,0,12,1,0,1,0,8,61.5,13,2,7,28.6
,,,,,,Stammm7,12,4,1,1,4,1,1,5,71.4,7,2,3,66.7
,,,,,,PeRcTooCold,10,0,0,1,0,1,1,4,80.0,5,2,2,100.0
,,,Defy Gravity,0|0|0|0|0|91,Win,,,,,,,,,,,,,,,
,,,,,,llSafll,34,1,11,1,0,1,2,12,75.0,16,8,12,66.7
,,,,,,MyOllies,30,1,4,2,0,0,1,11,78.6,14,8,11,72.7
,,,,,,Jaigy,12,7,2,1,0,1,0,6,60.0,10,0,1,0.0
,,,,,,Vleur,11,4,2,1,1,2,1,5,45.5,11,1,1,100.0
,,,,,,NextLaneOpen-,4,0,4,2,0,1,0,1,50.0,2,0,0,0
