Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/16/2025,,Regular Season,Bodega Cats,0|0|0|0|0|69,Win,,,,,,,,,,,,,,
,,,,,,IVIr SyN,22,5,2,1,0,1,1,8,72.7,11,6,9,66.7
,,,,,,GK1LLER77,16,0,2,0,0,1,1,6,66.7,9,4,6,66.7
,,,,,,GoldenBoy YP,15,0,6,0,0,2,3,6,66.7,9,2,4,50.0
,,,,,,TaeCP,13,17,1,0,0,2,5,5,62.5,8,3,3,100.0
,,,,,,o iHOOP5 o,3,2,11,1,1,3,0,1,25.0,4,1,1,100.0
,,,THE MOB,0|0|0|0|0|57,Loss,,,,,,,,,,,,,,,
,,,,,,Really Trxpp,31,0,2,1,0,1,1,11,55.0,20,9,14,64.3
,,,,,,Hit RB LT,16,9,1,3,0,1,0,7,58.3,12,2,2,100.0
,,,,,,pattymil,8,0,8,3,0,1,3,3,42.9,7,2,4,50.0
,,,,,,StopBaited,2,2,1,1,0,1,0,1,50.0,2,0,0,0
,,,,,,Gohthum,0,2,2,0,0,3,0,0,0.0,5,0,4,0.0
11/16/2025,,Regular Season,MoveinSilence,0|0|0|0|0|80,Loss,,,,,,,,,,,,,,
,,,,,,BBreesh,40,1,8,1,0,1,3,15,65.2,23,10,18,55.6
,,,,,,YaeGoated,12,6,1,1,1,0,0,6,85.7,7,0,0,0
,,,,,,MercyPeaks-,11,0,0,0,0,0,1,4,66.7,6,3,5,60.0
,,,,,,jjayvis,9,1,3,1,0,1,2,3,30.0,10,1,8,12.5
,,,,,,Teeswings,8,6,2,0,0,1,2,3,100.0,3,2,2,100.0
,,,DUB DYNASTY,0|0|0|0|0|88,Win,,,,,,,,,,,,,,,
,,,,,,ItsK3nnyTV,24,0,16,0,0,1,1,8,57.1,14,6,11,54.5
,,,,,,TikT0kPablo,23,0,0,2,0,0,0,11,78.6,14,1,1,100.0
,,,,,,DynastyxKdub2k,20,3,0,4,0,2,1,8,80.0,10,4,6,66.7
,,,,,,DynastyxCjay,16,11,3,0,0,0,1,8,80.0,10,0,0,0
,,,,,,IDKVINO,5,0,2,2,0,3,0,2,66.7,3,1,1,100.0
11/16/2025,,Regular Season,BulletProof,0|0|0|0|0|70,Win,,,,,,,,,,,,,,
,,,,,,HellaHeavys,25,0,1,3,0,2,0,9,100.0,9,7,7,100.0
,,,,,,Jairo2k,13,0,0,1,0,1,0,5,83.3,6,3,4,75.0
