post_id,name,slug,url,status,post_date,post_modified,abbreviation,short_name,twitter,facebook,url_meta,leagues,seasons
39559,Organized Crime,organized-crime,https://hof-league.com/team/organized-crime/,publish,2022-05-04 12:23:41,2024-12-10 03:06:40,,,,,,HOF League,
45802,Feared Potential,feared-potential,https://hof-league.com/team/feared-potential/,publish,2022-05-17 02:36:26,2025-09-29 05:19:29,,,,,,HOF League,SEASON 30
48536,Zero Gaming,zero-gaming,https://hof-league.com/team/zero-gaming/,publish,2022-06-28 19:49:29,2025-09-30 03:39:17,,,,,,HOF League,SEASON 30
48584,Dam Near Perfect,dam-near-perfect,https://hof-league.com/team/dam-near-perfect/,publish,2022-06-29 23:02:59,2022-12-30 15:13:56,,,,,,HOF League,
50829,New Edition,new-edition,https://hof-league.com/team/new-edition/,publish,2022-07-12 01:50:10,2022-12-30 15:42:20,,,,,,HOF League,
51538,Tunnel Vision,tunnel-vision,https://hof-league.com/team/tunnel-vision/,publish,2022-07-12 06:35:16,2023-11-14 13:28:23,,,,,,HOF League,
54015,Empire Gaming,empire-gaming,https://hof-league.com/team/empire-gaming/,publish,2022-07-22 02:40:35,2022-12-30 15:17:30,,,,,,HOF League,
54020,Execution,execution,https://hof-league.com/team/execution/,publish,2022-07-22 02:45:28,2023-11-14 11:08:00,,,,,,HOF League,
55292,State mafia,state-mafia,https://hof-league.com/team/state-mafia/,publish,2022-08-08 01:38:15,2025-09-29 05:20:26,,,,,,HOF League,SEASON 30
55549,Status quo,status-quo,https://hof-league.com/team/status-quo/,publish,2022-08-15 21:01:06,2024-02-12 03:13:19,,,,,,HOF League,
55552,Fire Sticks Gaming,fire-sticks-gaming,https://hof-league.com/team/fire-sticks-gaming/,publish,2022-08-15 21:01:06,2022-12-30 15:21:24,,,,,,HOF League,
55581,My Brother's Keeper,my-brothers-keeper,https://hof-league.com/team/my-brothers-keeper/,publish,2022-08-15 21:01:07,2023-01-02 17:07:42,,,,,,HOF League,
59948,Loyalty Runs Deep,loyalty-runs-deep,https://hof-league.com/team/loyalty-runs-deep/,publish,2022-09-27 10:48:00,2025-11-24 04:00:15,,,,,,HOF League,SEASON 30; SEASON 31
59955,Liquid Deception,liquid-deception,https://hof-league.com/team/liquid-deception/,publish,2022-09-27 10:48:00,2023-01-23 04:05:52,,,,,,HOF League,
59963,Never Fraud Again,never-fraud-again,https://hof-league.com/team/never-fraud-again/,publish,2022-09-27 10:48:00,2022-12-30 15:41:54,,,,,,HOF League,
93814,IQuandoI,,https://hof-league.com/?post_type=sp_team&p=93814,draft,2023-09-29 04:46:33,2023-09-29 04:46:33,,,,,,,
102321,Polow-,,https://hof-league.com/?post_type=sp_team&p=102321,draft,2023-11-21 05:48:30,2023-11-21 05:48:30,,,,,,,
107856,Energy Gaming,energy-gaming,https://hof-league.com/?post_type=sp_team&p=107856,draft,2024-01-26 12:21:30,2024-02-10 07:13:46,,,,,,HOF League,
115160,WatchMySwing,,https://hof-league.com/?post_type=sp_team&p=115160,draft,2024-04-01 00:23:10,2024-04-01 00:23:10,,,,,,,
118610,Risktakers Elitee,,https://hof-league.com/?post_type=sp_team&p=118610,draft,2024-05-06 10:39:18,2024-05-06 10:39:18,,,,,,,
59966,Major Pressure,major-pressure,https://hof-league.com/team/major-pressure/,publish,2022-09-27 10:48:00,2023-11-14 07:11:17,,,,,,HOF League,
59972,Unorthodox,unorthodox,https://hof-league.com/team/unorthodox/,publish,2022-09-27 10:48:00,2023-11-14 07:02:18,,,,,,HOF League,
59981,Flourish,flourish,https://hof-league.com/team/flourish/,publish,2022-09-27 10:48:01,2023-11-14 06:19:21,,,,,,HOF League,
59984,Evolve,evolve,https://hof-league.com/team/evolve/,publish,2022-09-27 10:48:01,2024-06-03 08:36:01,,,,,,HOF League,
59994,Bright Lights,bright-lights,https://hof-league.com/team/bright-lights/,publish,2022-09-27 10:48:01,2023-11-14 12:12:07,,,,,,HOF League,
60002,Defiance,defiance,https://hof-league.com/team/defiance/,publish,2022-09-27 10:48:01,2022-12-30 15:14:40,,,,,,HOF League,
60007,No Sympathy,no-sympathy,https://hof-league.com/team/no-sympathy/,publish,2022-09-27 10:48:01,2025-04-23 08:27:23,,,,,,EU; HOF League,
60013,PRESSURE ELITE,pressure-elite,https://hof-league.com/team/pressure-elite/,publish,2022-09-27 10:48:02,2022-12-30 18:05:14,,,,,,HOF League,
